"Category","Number of deaths","Rate per 100,000,000 vehicle miles","Rate Per 10,000 motor vehicles"
"1913",4200,,33.38
"1914",4700,,26.65
"1915",6600,,26.49
"1916",8200,,22.66
"1917",10200,,19.93
"1918",10700,,17.37
"1919",11200,,14.78
"1920",12500,,13.53
"1921",13900,,13.25
"1922",15300,,12.47
"1923",18400,21.65,12.18
"1924",19400,18.65,11.02
"1925",21900,17.95,10.89
"1926",23400,16.59,10.54
"1927",25800,16.33,11.07
"1928",28000,16.18,11.34
"1929",31200,15.84,11.69
"1930",32900,15.97,12.32
"1931",33700,15.6,12.91
"1932",29500,14.75,12.09
"1933",31363,15.6,12.96
"1934",36101,16.71,14.27
"1935",36369,15.88,13.72
"1936",38089,15.11,13.36
"1937",39463,14.68,13.19
"1938",32582,12.02,10.93
"1939",32386,11.35,10.44
"1940",34501,11.42,10.63
"1941",39969,11.98,11.45
"1942",28309,10.55,8.58
"1943",23823,11.44,7.71
"1944",24282,11.42,7.97
"1945",28076,11.22,9.05
"1946",33411,9.8,9.72
"1947",32697,8.82,8.64
"1948",32259,8.11,7.85
"1949",31701,7.47,7.09
"1950",34763,7.59,7.07
"1951",36996,7.53,7.13
"1952",37794,7.36,7.1
"1953",37956,6.97,6.74
"1954",35586,6.33,6.07
"1955",38426,6.34,6.12
"1956",39628,6.28,6.07
"1957",38702,5.98,5.73
"1958",36981,5.56,5.37
"1959",37910,5.41,5.26
"1960",38137,5.31,5.12
"1961",38091,5.16,4.98
"1962",40804,5.32,5.12
"1963",43564,5.41,5.22
"1964",47700,5.63,5.46
"1965",49163,5.54,5.36
"1966",53041,5.7,5.53
"1967",52924,5.5,5.35
"1968",54862,5.4,5.32
"1969",55791,5.21,5.19
"1970",54633,4.88,4.92
"1971",54381,4.57,4.68
"1972",56278,4.43,4.6
"1973",55511,4.24,4.28
"1974",46402,3.59,3.44
"1975",45853,3.45,3.33
"1976",47038,3.33,3.28
"1977",49510,3.35,3.33
"1978",52411,3.39,3.41
"1979",53524,3.5,3.35
"1980",53172,3.5,3.29
"1981",51385,3.3,3.13
"1982",45779,2.88,2.77
"1983",44452,2.68,2.62
"1984",46263,2.69,2.69
"1985",45901,2.59,2.59
"1986",47865,2.6,2.63
"1987",48290,2.51,2.63
"1988",49078,2.42,2.6
"1989",47575,2.26,2.48
"1990",46814,2.18,2.43
"1991",43536,2,2.26
"1992",40982,1.83,2.11
"1993",41893,1.82,2.12
"1994",42524,1.8,2.11
"1995",43363,1.79,2.11
"1996",43649,1.76,2.07
"1997",43458,1.7,2.05
"1998",43501,1.65,2.02
"1999",42401,1.58,1.92
"2000",43354,1.58,1.92
"2001",43788,1.57,1.86
"2002",45380,1.59,1.93
"2003",44757,1.55,1.89
"2004",44933,1.52,1.85
"2005",45343,1.52,1.83
"2006",45316,1.5,1.81
"2007",43945,1.45,1.73
"2008",39790,1.34,1.55
"2009",36216,1.22,1.42
"2010",35332,1.19,1.41
"2011",35303,1.2,1.39
"2012",36415,1.23,1.44
"2013",35369,1.18,1.38
"2014",35398,1.17,1.36
"2015",37757,1.22,1.43
"2016",40327,1.27,1.5
"2017",40231,1.25,1.48
"2018",39404,1.22,1.42
"2019",39107,1.2,1.41
"2020",42339,1.46,1.53
"2021",46980,1.5,1.7
"2022",46027,1.44,1.62
"2023",44762,1.38,1.57
